[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] Loaded HTML Templates (5): 
	- 
	- index.html
	- menu.html
	- menu
	- top.html

[GIN-debug] GET    /assets/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /assets/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] GET    /top                      --> github.com/TomSuzuki/recipe-wiki/pkg/controller.TopPageController (3 handlers)
[GIN-debug] GET    /                         --> github.com/TomSuzuki/recipe-wiki/pkg/controller.TopPageController (3 handlers)
[GIN-debug] Listening and serving HTTP on :8220
[GIN] 2021/02/17 - 22:44:03 | 200 |       997.9µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:44:03 | 200 |     55.9994ms |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:44:03 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:44:28 | 200 |       997.3µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:44:28 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:44:28 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:44:28 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:44:55 | 200 |            0s |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:44:55 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:44:55 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:44:55 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:45:17 | 200 |      1.0017ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:45:17 | 200 |      1.0012ms |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:45:17 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:45:17 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:45:39 | 200 |       999.9µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:45:39 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:45:39 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:45:39 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:46:29 | 200 |      2.0007ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:46:29 | 200 |       997.7µs |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:46:29 | 200 |       997.7µs |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:46:29 | 200 |      1.0018ms |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:46:29 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:46:59 | 200 |       997.6µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:46:59 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:46:59 | 200 |         999µs |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:46:59 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:46:59 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:46:59 | 200 |      1.0003ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:46:59 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:46:59 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:46:59 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:47:00 | 404 |      1.0017ms |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:47:00 | 200 |            0s |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:47:00 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:47:00 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:47:00 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:47:00 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:47:00 | 200 |       969.5µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:47:00 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:47:00 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:47:00 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:47:00 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:47:00 | 200 |            0s |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:47:00 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:47:00 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:47:00 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:47:00 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:47:00 | 200 |      1.0013ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:47:00 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:47:00 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:47:00 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:47:00 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:47:14 | 200 |      1.0002ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:47:14 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:47:14 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:47:14 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:47:14 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:47:14 | 200 |       997.9µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:47:14 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:47:14 | 200 |      1.0029ms |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:47:14 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:47:14 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:47:14 | 200 |      1.0031ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:47:14 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:47:14 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:47:14 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:47:14 | 404 |       998.4µs |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:47:14 | 200 |         997µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:47:14 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:47:14 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:47:14 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:47:14 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:47:25 | 200 |      1.0008ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:47:25 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:47:25 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:47:25 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:47:25 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:47:31 | 200 |       999.6µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:47:31 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:47:31 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:47:31 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:47:31 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:47:41 | 200 |         999µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:47:41 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:47:41 | 200 |       995.5µs |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:47:41 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:47:42 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:47:49 | 200 |       999.9µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:47:49 | 200 |       997.9µs |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:47:49 | 200 |         998µs |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:47:49 | 200 |         998µs |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:47:49 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:47:56 | 200 |            0s |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:47:56 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:47:56 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:47:56 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:47:56 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:48:00 | 200 |       999.7µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:48:00 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:48:00 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:48:00 | 200 |       999.9µs |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:48:00 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:48:03 | 200 |      1.0097ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:48:03 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:48:03 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:48:03 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:48:03 | 404 |         999µs |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:48:17 | 200 |      1.0016ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:48:17 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:48:17 | 200 |      1.0004ms |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:48:17 | 200 |      1.0004ms |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:48:17 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:48:29 | 200 |      1.0003ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:48:29 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:48:29 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:48:29 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
